name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
Udipi,24104,Valid,H5,3600,Fell,1866,13.483330,74.783330,"(13.48333, 74.78333)"
Ufana,24106,Valid,EL6,189.2,Fell,1957,-4.266670,35.350000,"(-4.26667, 35.35)"
Ulmiz,24108,Valid,L,76.5,Fell,1926,46.933330,7.216670,"(46.93333, 7.21667)"
Umbala,24112,Valid,LL5,100,Fell,1822,30.333330,76.333330,"(30.33333, 76.33333)"
Umm Ruaba,24118,Valid,L5,1700,Fell,1966,13.466670,31.216670,"(13.46667, 31.21667)"
Undulung,24121,Valid,L4,113.4,Fell,1986,66.138890,124.766670,"(66.13889, 124.76667)"
Unkoku,24123,Valid,OC,1000,Fell,1924,34.800000,127.000000,"(34.8, 127.0)"
Urasaki,24129,Valid,Stone-uncl,1500,Fell,1926,34.483330,133.283330,"(34.48333, 133.28333)"
Usti Nad Orlici,24132,Valid,L6,1269,Fell,1963,49.975000,16.375000,"(49.975, 16.375)"
Utrecht,24135,Valid,L6,9700,Fell,1843,52.116670,5.183330,"(52.11667, 5.18333)"
Utzenstorf,24136,Valid,H5,3422,Fell,1928,47.116670,7.550000,"(47.11667, 7.55)"
Vago,24143,Valid,H6,40,Fell,1668,45.416670,11.133330,"(45.41667, 11.13333)"
Valdavur,24144,Valid,H6,2799,Fell,1944,11.983330,79.750000,"(11.98333, 79.75)"
Valdinizza,24145,Valid,L6,1004,Fell,1903,44.866670,9.150000,"(44.86667, 9.15)"
Valera,24149,Valid,L5,50000,Fell,1972,9.316670,-70.628330,"(9.31667, -70.62833)"
Varre-Sai,53633,Valid,L5,2500,Fell,2010,-20.850010,-41.733560,"(-20.85001, -41.73356)"
Vavilovka,24154,Valid,LL6,1932,Fell,1876,46.150000,32.833330,"(46.15, 32.83333)"
Vengerovo,24158,Valid,H5,10800,Fell,1950,56.133330,77.266670,"(56.13333, 77.26667)"
Veramin,24162,Valid,Mesosiderite-B2,54000,Fell,1880,35.333330,51.633330,"(35.33333, 51.63333)"
Verkhne Tschirskaia,24165,Valid,H5,8000,Fell,1843,48.416670,43.200000,"(48.41667, 43.2)"
Vernon County,24168,Valid,H6,1500,Fell,1865,43.500000,-91.166670,"(43.5, -91.16667)"
